,run,time,size,pattern,sparsity,algorithm,gflops,rel_error
275,26,0.8256,1280,blockrandom,0.9,SpMM 1 Co,5080.31007751938,0.0
276,26,0.10784,1280,blockrandom,0.9,SpMM with Tensors,38893.76854599406,0.00144
277,26,33.73875,1280,blockrandom,0.9,cuBLAS GeMM,124.317113111778,0.000665
278,26,6.475776,1280,blockrandom,0.9,cuBLAS GeMM with Tensors,647.6913345983555,0.000665
279,26,5.637248,1280,blockrandom,0.9,cuSPARSE CSR,744.033968347676,0.000171
280,6,166.920578,4096,blockrandom,0.7,Dense on GPU Coalescence,823.3793287727532,inf
281,6,19.540768,4096,blockrandom,0.7,Dense WMMA,7033.446867185568,0.058679
282,6,78.147583,4096,blockrandom,0.7,SpMM 1 Co,1758.710227442351,0.0
283,6,4.925664,4096,blockrandom,0.7,SpMM with Tensors,27902.624594775447,0.295427
284,6,37.266434,4096,blockrandom,0.7,cuBLAS GeMM,3688.0092544406048,0.058679
285,6,10.783744,4096,blockrandom,0.7,cuBLAS GeMM with Tensors,12745.012629379926,0.058679
286,6,42.965183,4096,blockrandom,0.7,cuSPARSE CSR,3198.844829125946,0.001759
287,24,433.289215,5376,blockrandom,0.8,Dense on GPU Coalescence,717.1828515325496,inf
288,24,242.329346,5376,blockrandom,0.8,Dense WMMA,1282.335795814016,0.064531
289,24,130.623718,5376,blockrandom,0.8,SpMM 1 Co,2378.952302919444,0.0
290,24,11.250688,5376,blockrandom,0.8,SpMM with Tensors,27620.319286429418,0.064531
291,24,45.512482,5376,blockrandom,0.8,cuBLAS GeMM,6827.74441420268,0.064531
292,24,17.575905,5376,blockrandom,0.8,cuBLAS GeMM with Tensors,17680.31829666808,0.064531
293,24,63.417728,5376,blockrandom,0.8,cuSPARSE CSR,4900.011472375674,0.002048
294,29,5.274912,1280,blockrandom,0.8,Dense on GPU Coalescence,795.1419853070535,inf
295,29,0.68496,1280,blockrandom,0.8,Dense WMMA,6123.429105349217,0.003251
296,29,1.500288,1280,blockrandom,0.8,SpMM 1 Co,2795.6658988140944,0.0
297,29,0.15872,1280,blockrandom,0.8,SpMM with Tensors,26425.8064516129,0.003251
298,29,33.582367,1280,blockrandom,0.8,cuBLAS GeMM,124.89602058127707,0.001542
299,29,7.094592,1280,blockrandom,0.8,cuBLAS GeMM with Tensors,591.1973514474123,0.001542
